Removed Pin From Net: NetName=VCC Pin=D1-3
Removed Pin From Net: NetName=MCU_G_LED Pin=D3-1
Removed Pin From Net: NetName=MCU_R_LED Pin=D3-4
Removed Pin From Net: NetName=GND Pin=D4-1
Removed Pin From Net: NetName=MAIN_nFAULT Pin=D4-4
Removed Pin From Net: NetName=GND Pin=D5-1
Removed Pin From Net: NetName=DROGUE_nFAULT Pin=D5-4
Removed Pin From Net: NetName=SWDIO Pin=J5-02
Removed Pin From Net: NetName=GND Pin=J5-03
Removed Pin From Net: NetName=SWCLK Pin=J5-04
Removed Pin From Net: NetName=GND Pin=J5-05
Removed Pin From Net: NetName=SWO Pin=J5-06
Removed Pin From Net: NetName=RESETN Pin=J5-10
Removed Pin From Net: NetName=GND Pin=P2-1
Removed Pin From Net: NetName=MAIN_MATCH Pin=P2-3
Removed Member From Class: ClassName=OC_PROT Member=D1
Removed Member From Class: ClassName=EJECTION_CIRCUIT_0 Member=D4
Removed Member From Class: ClassName=EJECTION_CIRCUIT_0 Member=D5
Change Footprint: Footprint Not Found FP-53261-0371-MFG
Change Component Comment : Designator=J5 Old Comment=FTSH-105-01-F-D-RA-K New Comment=53261-0371
Change Component Designator: OldDesignator=J3 NewDesignator=J6
Change Component Designator: OldDesignator=J4 NewDesignator=J7
Change Component Designator: OldDesignator=P1 NewDesignator=P3
Change Component Designator: OldDesignator=P2 NewDesignator=P1
Change Component Designator: OldDesignator=P3 NewDesignator=P2
Change Managed Component Library Link : Designator=J5 Old VaultGUID=275DD9A0-BDD9-47D7-8C38-F690E90B05B9 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=12c82e73-564f-4a75-92c8-5d96e29c0ce2 New ItemGUID=59699DB6-132F-4EE4-858B-AB1D2764248E Old RevisionGUID=30a81c73-19e9-4229-969c-265067028549 New RevisionGUID=A7DD21DA-2074-4E84-81EF-D7BE7334BB4E
Change component parameters: Designator = "J5" ("J5"); Footprint = "FTSH-105-01-F-D-RA-K-Footprint-1"; UniqueID = "\XOYAQSDJ" ("\XOYAQSDJ")
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "1.25mm (.049") Pitch PicoBlade Header, Surface Mount, Right Angle, Lead-free, 3 Circuits"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Contacts"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/53261-0371-molex-655314"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-40°C to +105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "125V"; VariantName = "[No Variations]"
Added Component: Designator=C1(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C2(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C3(FP-C0402-BB-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.10 µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CAP CER 0.1UF 10V X5R 0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.55mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "CAPC10050X50"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0402C104K8PACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Capacitor 100 nF 10 VDC 0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0402c104k8pactu-kemet-140039"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "C0402-BB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Characteristic"; Value = "X5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "15%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0.1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.10 µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "10 V"; VariantName = "[No Variations]"
Added Component: Designator=C4(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C5(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C6(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C7(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C8(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C9(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C10(FP-GRM188-0_1-e0_2_0_55-IPC_A)
Add component (AddParameter): Name = "Capacitance"; Value = "10uF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "4000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.035inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "6.3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "6.3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "6.3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Added Component: Designator=C11(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C12(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C13(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C14(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C15(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C16(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C17(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C18(FP-0402-L_1_0_0_05-W_0_5-IPC_A)
Add component (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
